EmployeeCode,Name,Date,Status,Month
Atq -441,Loki Lal,2022-04-02,WO,Apr 2022
Atq -436,Phoenix Brady,2022-04-02,WO,Apr 2022
Atq -404,Ana Little,2022-04-02,WO,Apr 2022
Atq -397,Grace Stone,2022-04-02,WO,Apr 2022
Atq -335,Tori Shannon,2022-04-02,WO,Apr 2022
Atq -443,Lyric Bartlett,2022-04-02,WO,Apr 2022
Atq -419,Kaylah Schultz,2022-04-02,WO,Apr 2022
Atq -467,Cason David,2022-04-02,WO,Apr 2022
Atq -450,Miya Hampton,2022-04-02,WO,Apr 2022
Atq -405,Sofia Solis,2022-04-02,WO,Apr 2022
Atq -440,Mckayla Parker,2022-04-02,WO,Apr 2022
Atq -335,Madelynn Gray,2022-04-02,WO,Apr 2022
Atq -343,Myla Klein,2022-04-02,WO,Apr 2022
Atq -334,Boston Morse,2022-04-02,WO,Apr 2022
Atq -446,April Ayers,2022-04-02,WO,Apr 2022
Atq -419,Faith Hamilton,2022-04-02,WO,Apr 2022
Atq -393,Janelle Raymond,2022-04-02,WO,Apr 2022
Atq -396,Joel Cruz,2022-04-02,WO,Apr 2022
Atq -459,Iris Woodard,2022-04-02,WO,Apr 2022
Atq -349,Trystan Ortega,2022-04-02,WO,Apr 2022
Atq -438,Miles Fields,2022-04-02,WO,Apr 2022
Atq -423,Rodrigo Price,2022-04-02,WO,Apr 2022
Atq -370,Ella Roth,2022-04-02,WO,Apr 2022
Atq -433,Jayce Fuentes,2022-04-02,WO,Apr 2022
Atq -375,Hailee Fitzpatrick,2022-04-02,WO,Apr 2022
Atq -475,Rey Novak,2022-04-02,WO,Apr 2022
Atq -368,Macie Callahan,2022-04-02,WO,Apr 2022
Atq -468,Xiomara Ruiz,2022-04-02,WO,Apr 2022
Atq -348,Weston Horton,2022-04-02,WO,Apr 2022
Atq -435,Dean Mclaughlin,2022-04-02,WO,Apr 2022
Atq -331,Jonah Hamilton,2022-04-02,WO,Apr 2022
Atq -426,Roman Colon,2022-04-02,WO,Apr 2022
Atq -405,Chris Frye,2022-04-02,WO,Apr 2022
Atq -475,London Kim,2022-04-02,WO,Apr 2022
Atq -375,Kenley Marsh,2022-04-02,WO,Apr 2022
Atq -456,Adriel Pace,2022-04-02,WO,Apr 2022
Atq -385,Jase Ingram,2022-04-02,WO,Apr 2022
Atq -484,Adyson Moyer,2022-04-02,WO,Apr 2022
Atq -398,Salvatore Hendrix,2022-04-02,WO,Apr 2022
Atq -412,Tucker Austin,2022-04-02,WO,Apr 2022
Atq -472,Cristofer Bernard,2022-04-02,WO,Apr 2022
Atq -396,Karma Reeves,2022-04-02,WO,Apr 2022
Atq -467,Esperanza Irwin,2022-04-02,WO,Apr 2022
Atq -428,Ciara Allison,2022-04-02,WO,Apr 2022
Atq -484,Demarcus Gordon,2022-04-02,WO,Apr 2022
Atq -432,Ryann Guerrero,2022-04-02,WO,Apr 2022
Atq -421,Rylee Mullins,2022-04-02,WO,Apr 2022
Atq -485,Gregory Carr,2022-04-02,WO,Apr 2022
Atq -452,Ayanna Atkins,2022-04-02,WO,Apr 2022
Atq -367,Briley Orr,2022-04-02,WO,Apr 2022
Atq -393,Emma Freeman,2022-04-02,WO,Apr 2022
Atq -403,Will Mahoney,2022-04-02,WO,Apr 2022
Atq -414,Titus Andersen,2022-04-02,WO,Apr 2022
Atq -418,Marquis Wyatt,2022-04-02,WO,Apr 2022
Atq -408,Nick Orozco,2022-04-02,WO,Apr 2022
Atq -382,Gustavo Ritter,2022-04-02,WO,Apr 2022
Atq -373,Isiah Small,2022-04-02,WO,Apr 2022
Atq -418,Hillary Kirk,2022-04-02,WO,Apr 2022
Atq -376,Dominique Benjamin,2022-04-02,WO,Apr 2022
Atq -453,Nehemiah Diaz,2022-04-02,WO,Apr 2022
Atq -461,Josh Sharp,2022-04-02,WO,Apr 2022
Atq -443,Andrew Cummings,2022-04-02,WO,Apr 2022
Atq -430,Maximus Mckenzie,2022-04-02,WO,Apr 2022
Atq -387,Konner Henson,2022-04-02,WO,Apr 2022
Atq -385,Finnegan Gilbert,2022-04-02,WO,Apr 2022
Atq -455,Caylee Meadows,2022-04-02,WO,Apr 2022
Atq -470,Jovani Pope,2022-04-02,WO,Apr 2022
Atq -374,Kaley Fitzpatrick,2022-04-02,WO,Apr 2022
Atq -369,Greta Horton,2022-04-02,WO,Apr 2022
Atq -372,Miley Combs,2022-04-02,WO,Apr 2022
Atq -437,Dallas Weeks,2022-04-02,WO,Apr 2022
Atq -400,Chad Macias,2022-04-02,WO,Apr 2022
Atq -458,Jessie Carrillo,2022-04-02,WO,Apr 2022
Atq -406,Thanos Thakur,2022-04-03,WO,Apr 2022
Atq -462,Jarvis Singh,2022-04-03,WO,Apr 2022
Atq -411,Nevaeh Waller,2022-04-03,WO,Apr 2022
Atq -398,Bo Cordova,2022-04-03,WO,Apr 2022
Atq -438,Mekhi Singleton,2022-04-03,WO,Apr 2022
Atq -366,Peter Pandey,2022-04-03,WO,Apr 2022
Atq -441,Loki Lal,2022-04-03,WO,Apr 2022
Atq -436,Phoenix Brady,2022-04-03,WO,Apr 2022
Atq -404,Ana Little,2022-04-03,WO,Apr 2022
Atq -397,Grace Stone,2022-04-03,WO,Apr 2022
Atq -335,Tori Shannon,2022-04-03,WO,Apr 2022
Atq -443,Lyric Bartlett,2022-04-03,WO,Apr 2022
Atq -419,Kaylah Schultz,2022-04-03,WO,Apr 2022
Atq -467,Cason David,2022-04-03,WO,Apr 2022
Atq -450,Miya Hampton,2022-04-03,WO,Apr 2022
Atq -405,Sofia Solis,2022-04-03,WO,Apr 2022
Atq -440,Mckayla Parker,2022-04-03,WO,Apr 2022
Atq -335,Madelynn Gray,2022-04-03,WO,Apr 2022
Atq -343,Myla Klein,2022-04-03,WO,Apr 2022
Atq -334,Boston Morse,2022-04-03,WO,Apr 2022
Atq -446,April Ayers,2022-04-03,WO,Apr 2022
Atq -419,Faith Hamilton,2022-04-03,WO,Apr 2022
Atq -393,Janelle Raymond,2022-04-03,WO,Apr 2022
Atq -396,Joel Cruz,2022-04-03,WO,Apr 2022
Atq -459,Iris Woodard,2022-04-03,WO,Apr 2022
Atq -349,Trystan Ortega,2022-04-03,WO,Apr 2022
Atq -438,Miles Fields,2022-04-03,WO,Apr 2022
Atq -423,Rodrigo Price,2022-04-03,WO,Apr 2022
Atq -370,Ella Roth,2022-04-03,WO,Apr 2022
Atq -433,Jayce Fuentes,2022-04-03,WO,Apr 2022
Atq -375,Hailee Fitzpatrick,2022-04-03,WO,Apr 2022
Atq -475,Rey Novak,2022-04-03,WO,Apr 2022
Atq -368,Macie Callahan,2022-04-03,WO,Apr 2022
Atq -468,Xiomara Ruiz,2022-04-03,WO,Apr 2022
Atq -348,Weston Horton,2022-04-03,WO,Apr 2022
Atq -435,Dean Mclaughlin,2022-04-03,WO,Apr 2022
Atq -331,Jonah Hamilton,2022-04-03,WO,Apr 2022
Atq -426,Roman Colon,2022-04-03,WO,Apr 2022
Atq -405,Chris Frye,2022-04-03,WO,Apr 2022
Atq -475,London Kim,2022-04-03,WO,Apr 2022
Atq -375,Kenley Marsh,2022-04-03,WO,Apr 2022
Atq -456,Adriel Pace,2022-04-03,WO,Apr 2022
Atq -385,Jase Ingram,2022-04-03,WO,Apr 2022
Atq -484,Adyson Moyer,2022-04-03,WO,Apr 2022
Atq -398,Salvatore Hendrix,2022-04-03,WO,Apr 2022
Atq -412,Tucker Austin,2022-04-03,WO,Apr 2022
Atq -472,Cristofer Bernard,2022-04-03,WO,Apr 2022
Atq -396,Karma Reeves,2022-04-03,WO,Apr 2022
Atq -467,Esperanza Irwin,2022-04-03,WO,Apr 2022
Atq -428,Ciara Allison,2022-04-03,WO,Apr 2022
Atq -484,Demarcus Gordon,2022-04-03,WO,Apr 2022
Atq -432,Ryann Guerrero,2022-04-03,WO,Apr 2022
Atq -421,Rylee Mullins,2022-04-03,WO,Apr 2022
Atq -485,Gregory Carr,2022-04-03,WO,Apr 2022
Atq -452,Ayanna Atkins,2022-04-03,WO,Apr 2022
Atq -367,Briley Orr,2022-04-03,WO,Apr 2022
Atq -393,Emma Freeman,2022-04-03,WO,Apr 2022
Atq -403,Will Mahoney,2022-04-03,WO,Apr 2022
Atq -414,Titus Andersen,2022-04-03,WO,Apr 2022
Atq -418,Marquis Wyatt,2022-04-03,WO,Apr 2022
Atq -408,Nick Orozco,2022-04-03,WO,Apr 2022
Atq -382,Gustavo Ritter,2022-04-03,WO,Apr 2022
Atq -373,Isiah Small,2022-04-03,WO,Apr 2022
Atq -418,Hillary Kirk,2022-04-03,WO,Apr 2022
Atq -376,Dominique Benjamin,2022-04-03,WO,Apr 2022
Atq -453,Nehemiah Diaz,2022-04-03,WO,Apr 2022
Atq -461,Josh Sharp,2022-04-03,WO,Apr 2022
Atq -443,Andrew Cummings,2022-04-03,WO,Apr 2022
Atq -430,Maximus Mckenzie,2022-04-03,WO,Apr 2022
Atq -387,Konner Henson,2022-04-03,WO,Apr 2022
Atq -385,Finnegan Gilbert,2022-04-03,WO,Apr 2022
Atq -455,Caylee Meadows,2022-04-03,WO,Apr 2022
Atq -470,Jovani Pope,2022-04-03,WO,Apr 2022
Atq -374,Kaley Fitzpatrick,2022-04-03,WO,Apr 2022
Atq -369,Greta Horton,2022-04-03,WO,Apr 2022
Atq -372,Miley Combs,2022-04-03,WO,Apr 2022
Atq -437,Dallas Weeks,2022-04-03,WO,Apr 2022
Atq -400,Chad Macias,2022-04-03,WO,Apr 2022
Atq -458,Jessie Carrillo,2022-04-03,WO,Apr 2022
Atq -406,Thanos Thakur,2022-04-04,P,Apr 2022
Atq -462,Jarvis Singh,2022-04-04,P,Apr 2022
Atq -411,Nevaeh Waller,2022-04-04,WFH,Apr 2022
Atq -398,Bo Cordova,2022-04-04,P,Apr 2022
Atq -438,Mekhi Singleton,2022-04-04,P,Apr 2022
Atq -366,Peter Pandey,2022-04-04,P,Apr 2022
Atq -441,Loki Lal,2022-04-04,P,Apr 2022
Atq -436,Phoenix Brady,2022-04-04,P,Apr 2022
Atq -404,Ana Little,2022-04-04,P,Apr 2022
Atq -397,Grace Stone,2022-04-04,P,Apr 2022
Atq -335,Tori Shannon,2022-04-04,P,Apr 2022
Atq -443,Lyric Bartlett,2022-04-04,P,Apr 2022
Atq -419,Kaylah Schultz,2022-04-04,P,Apr 2022
Atq -467,Cason David,2022-04-04,HSL,Apr 2022
Atq -450,Miya Hampton,2022-04-04,P,Apr 2022
Atq -405,Sofia Solis,2022-04-04,P,Apr 2022
Atq -440,Mckayla Parker,2022-04-04,P,Apr 2022
Atq -335,Madelynn Gray,2022-04-04,P,Apr 2022
Atq -343,Myla Klein,2022-04-04,P,Apr 2022
Atq -334,Boston Morse,2022-04-04,P,Apr 2022
Atq -446,April Ayers,2022-04-04,P,Apr 2022
Atq -419,Faith Hamilton,2022-04-04,P,Apr 2022
Atq -393,Janelle Raymond,2022-04-04,P,Apr 2022
Atq -396,Joel Cruz,2022-04-04,WFH,Apr 2022
Atq -459,Iris Woodard,2022-04-04,P,Apr 2022
Atq -349,Trystan Ortega,2022-04-04,P,Apr 2022
Atq -438,Miles Fields,2022-04-04,P,Apr 2022
Atq -423,Rodrigo Price,2022-04-04,P,Apr 2022
Atq -370,Ella Roth,2022-04-04,P,Apr 2022
Atq -433,Jayce Fuentes,2022-04-04,P,Apr 2022
Atq -375,Hailee Fitzpatrick,2022-04-04,P,Apr 2022
Atq -475,Rey Novak,2022-04-04,P,Apr 2022
Atq -368,Macie Callahan,2022-04-04,P,Apr 2022
Atq -468,Xiomara Ruiz,2022-04-04,P,Apr 2022
Atq -348,Weston Horton,2022-04-04,P,Apr 2022
Atq -435,Dean Mclaughlin,2022-04-04,P,Apr 2022
Atq -331,Jonah Hamilton,2022-04-04,WFH,Apr 2022
Atq -426,Roman Colon,2022-04-04,P,Apr 2022
Atq -405,Chris Frye,2022-04-04,P,Apr 2022
Atq -475,London Kim,2022-04-04,P,Apr 2022
Atq -375,Kenley Marsh,2022-04-04,P,Apr 2022
Atq -456,Adriel Pace,2022-04-04,P,Apr 2022
Atq -385,Jase Ingram,2022-04-04,HPL,Apr 2022
Atq -484,Adyson Moyer,2022-04-04,P,Apr 2022
Atq -398,Salvatore Hendrix,2022-04-04,P,Apr 2022
Atq -412,Tucker Austin,2022-04-04,P,Apr 2022
Atq -472,Cristofer Bernard,2022-04-04,P,Apr 2022
Atq -396,Karma Reeves,2022-04-04,P,Apr 2022
Atq -467,Esperanza Irwin,2022-04-04,P,Apr 2022
Atq -428,Ciara Allison,2022-04-04,P,Apr 2022
Atq -484,Demarcus Gordon,2022-04-04,P,Apr 2022
Atq -432,Ryann Guerrero,2022-04-04,P,Apr 2022
Atq -421,Rylee Mullins,2022-04-04,P,Apr 2022
Atq -485,Gregory Carr,2022-04-04,WFH,Apr 2022
Atq -452,Ayanna Atkins,2022-04-04,P,Apr 2022
Atq -367,Briley Orr,2022-04-04,P,Apr 2022
Atq -393,Emma Freeman,2022-04-04,WFH,Apr 2022
Atq -403,Will Mahoney,2022-04-04,P,Apr 2022
Atq -414,Titus Andersen,2022-04-04,P,Apr 2022
Atq -418,Marquis Wyatt,2022-04-04,P,Apr 2022
Atq -408,Nick Orozco,2022-04-04,P,Apr 2022
Atq -382,Gustavo Ritter,2022-04-04,WFH,Apr 2022
Atq -373,Isiah Small,2022-04-04,P,Apr 2022
Atq -418,Hillary Kirk,2022-04-04,P,Apr 2022
Atq -376,Dominique Benjamin,2022-04-04,P,Apr 2022
Atq -453,Nehemiah Diaz,2022-04-04,P,Apr 2022
Atq -443,Andrew Cummings,2022-04-04,P,Apr 2022
Atq -430,Maximus Mckenzie,2022-04-04,WFH,Apr 2022
Atq -387,Konner Henson,2022-04-04,P,Apr 2022
Atq -385,Finnegan Gilbert,2022-04-04,P,Apr 2022
Atq -455,Caylee Meadows,2022-04-04,P,Apr 2022
Atq -470,Jovani Pope,2022-04-04,P,Apr 2022
Atq -374,Kaley Fitzpatrick,2022-04-04,P,Apr 2022
Atq -369,Greta Horton,2022-04-04,P,Apr 2022
Atq -372,Miley Combs,2022-04-04,P,Apr 2022
Atq -437,Dallas Weeks,2022-04-04,P,Apr 2022
Atq -400,Chad Macias,2022-04-04,P,Apr 2022
Atq -458,Jessie Carrillo,2022-04-04,P,Apr 2022
Atq -406,Thanos Thakur,2022-04-05,P,Apr 2022
Atq -462,Jarvis Singh,2022-04-05,P,Apr 2022
Atq -411,Nevaeh Waller,2022-04-05,P,Apr 2022
Atq -398,Bo Cordova,2022-04-05,P,Apr 2022
Atq -438,Mekhi Singleton,2022-04-05,P,Apr 2022
Atq -366,Peter Pandey,2022-04-05,P,Apr 2022
Atq -441,Loki Lal,2022-04-05,P,Apr 2022
Atq -436,Phoenix Brady,2022-04-05,P,Apr 2022
Atq -404,Ana Little,2022-04-05,HPL,Apr 2022
Atq -397,Grace Stone,2022-04-05,P,Apr 2022
Atq -335,Tori Shannon,2022-04-05,P,Apr 2022
Atq -443,Lyric Bartlett,2022-04-05,P,Apr 2022
Atq -419,Kaylah Schultz,2022-04-05,P,Apr 2022
Atq -467,Cason David,2022-04-05,P,Apr 2022
Atq -450,Miya Hampton,2022-04-05,P,Apr 2022
Atq -405,Sofia Solis,2022-04-05,P,Apr 2022
Atq -440,Mckayla Parker,2022-04-05,P,Apr 2022
Atq -335,Madelynn Gray,2022-04-05,P,Apr 2022
Atq -343,Myla Klein,2022-04-05,P,Apr 2022
Atq -334,Boston Morse,2022-04-05,P,Apr 2022
Atq -446,April Ayers,2022-04-05,P,Apr 2022
Atq -419,Faith Hamilton,2022-04-05,P,Apr 2022
Atq -393,Janelle Raymond,2022-04-05,P,Apr 2022
Atq -396,Joel Cruz,2022-04-05,WFH,Apr 2022
Atq -459,Iris Woodard,2022-04-05,P,Apr 2022
Atq -349,Trystan Ortega,2022-04-05,P,Apr 2022
Atq -438,Miles Fields,2022-04-05,P,Apr 2022
Atq -423,Rodrigo Price,2022-04-05,P,Apr 2022
Atq -370,Ella Roth,2022-04-05,P,Apr 2022
Atq -433,Jayce Fuentes,2022-04-05,P,Apr 2022
Atq -375,Hailee Fitzpatrick,2022-04-05,ML,Apr 2022
Atq -475,Rey Novak,2022-04-05,P,Apr 2022
Atq -368,Macie Callahan,2022-04-05,P,Apr 2022
Atq -468,Xiomara Ruiz,2022-04-05,P,Apr 2022
Atq -348,Weston Horton,2022-04-05,P,Apr 2022
Atq -435,Dean Mclaughlin,2022-04-05,P,Apr 2022
Atq -331,Jonah Hamilton,2022-04-05,WFH,Apr 2022
Atq -426,Roman Colon,2022-04-05,P,Apr 2022
Atq -405,Chris Frye,2022-04-05,WFH,Apr 2022
Atq -475,London Kim,2022-04-05,P,Apr 2022
Atq -375,Kenley Marsh,2022-04-05,P,Apr 2022
Atq -456,Adriel Pace,2022-04-05,P,Apr 2022
Atq -385,Jase Ingram,2022-04-05,P,Apr 2022
Atq -484,Adyson Moyer,2022-04-05,P,Apr 2022
Atq -398,Salvatore Hendrix,2022-04-05,P,Apr 2022
Atq -412,Tucker Austin,2022-04-05,P,Apr 2022
Atq -472,Cristofer Bernard,2022-04-05,P,Apr 2022
Atq -396,Karma Reeves,2022-04-05,P,Apr 2022
Atq -467,Esperanza Irwin,2022-04-05,P,Apr 2022
Atq -428,Ciara Allison,2022-04-05,P,Apr 2022
Atq -484,Demarcus Gordon,2022-04-05,P,Apr 2022
Atq -432,Ryann Guerrero,2022-04-05,P,Apr 2022
Atq -421,Rylee Mullins,2022-04-05,P,Apr 2022
Atq -485,Gregory Carr,2022-04-05,WFH,Apr 2022
Atq -452,Ayanna Atkins,2022-04-05,P,Apr 2022
Atq -367,Briley Orr,2022-04-05,P,Apr 2022
Atq -393,Emma Freeman,2022-04-05,WFH,Apr 2022
Atq -403,Will Mahoney,2022-04-05,P,Apr 2022
Atq -414,Titus Andersen,2022-04-05,P,Apr 2022
Atq -418,Marquis Wyatt,2022-04-05,P,Apr 2022
Atq -408,Nick Orozco,2022-04-05,P,Apr 2022
Atq -382,Gustavo Ritter,2022-04-05,WFH,Apr 2022
Atq -373,Isiah Small,2022-04-05,P,Apr 2022
Atq -418,Hillary Kirk,2022-04-05,P,Apr 2022
Atq -376,Dominique Benjamin,2022-04-05,P,Apr 2022
Atq -453,Nehemiah Diaz,2022-04-05,P,Apr 2022
Atq -443,Andrew Cummings,2022-04-05,P,Apr 2022
Atq -430,Maximus Mckenzie,2022-04-05,WFH,Apr 2022
Atq -387,Konner Henson,2022-04-05,P,Apr 2022
Atq -385,Finnegan Gilbert,2022-04-05,P,Apr 2022
Atq -455,Caylee Meadows,2022-04-05,P,Apr 2022
Atq -470,Jovani Pope,2022-04-05,P,Apr 2022
Atq -374,Kaley Fitzpatrick,2022-04-05,P,Apr 2022
Atq -369,Greta Horton,2022-04-05,P,Apr 2022
Atq -372,Miley Combs,2022-04-05,P,Apr 2022
Atq -437,Dallas Weeks,2022-04-05,P,Apr 2022
Atq -400,Chad Macias,2022-04-05,P,Apr 2022
Atq -458,Jessie Carrillo,2022-04-05,P,Apr 2022
Atq -406,Thanos Thakur,2022-04-06,P,Apr 2022
Atq -462,Jarvis Singh,2022-04-06,P,Apr 2022
Atq -411,Nevaeh Waller,2022-04-06,P,Apr 2022
Atq -398,Bo Cordova,2022-04-06,P,Apr 2022
Atq -438,Mekhi Singleton,2022-04-06,P,Apr 2022
Atq -366,Peter Pandey,2022-04-06,P,Apr 2022
Atq -441,Loki Lal,2022-04-06,P,Apr 2022
Atq -436,Phoenix Brady,2022-04-06,P,Apr 2022
Atq -404,Ana Little,2022-04-06,PL,Apr 2022
Atq -397,Grace Stone,2022-04-06,P,Apr 2022
Atq -335,Tori Shannon,2022-04-06,P,Apr 2022
Atq -443,Lyric Bartlett,2022-04-06,P,Apr 2022
Atq -419,Kaylah Schultz,2022-04-06,P,Apr 2022
Atq -467,Cason David,2022-04-06,P,Apr 2022
Atq -450,Miya Hampton,2022-04-06,P,Apr 2022
Atq -405,Sofia Solis,2022-04-06,P,Apr 2022
Atq -440,Mckayla Parker,2022-04-06,P,Apr 2022
Atq -335,Madelynn Gray,2022-04-06,P,Apr 2022
Atq -343,Myla Klein,2022-04-06,P,Apr 2022
Atq -334,Boston Morse,2022-04-06,P,Apr 2022
Atq -446,April Ayers,2022-04-06,P,Apr 2022
Atq -419,Faith Hamilton,2022-04-06,P,Apr 2022
Atq -393,Janelle Raymond,2022-04-06,P,Apr 2022
Atq -396,Joel Cruz,2022-04-06,WFH,Apr 2022
Atq -459,Iris Woodard,2022-04-06,P,Apr 2022
Atq -349,Trystan Ortega,2022-04-06,P,Apr 2022
Atq -438,Miles Fields,2022-04-06,P,Apr 2022
Atq -423,Rodrigo Price,2022-04-06,P,Apr 2022
Atq -370,Ella Roth,2022-04-06,HPL,Apr 2022
Atq -433,Jayce Fuentes,2022-04-06,P,Apr 2022
Atq -375,Hailee Fitzpatrick,2022-04-06,P,Apr 2022
Atq -475,Rey Novak,2022-04-06,P,Apr 2022
Atq -368,Macie Callahan,2022-04-06,P,Apr 2022
Atq -468,Xiomara Ruiz,2022-04-06,P,Apr 2022
Atq -348,Weston Horton,2022-04-06,P,Apr 2022
Atq -435,Dean Mclaughlin,2022-04-06,P,Apr 2022
Atq -331,Jonah Hamilton,2022-04-06,PL,Apr 2022
Atq -426,Roman Colon,2022-04-06,P,Apr 2022
Atq -405,Chris Frye,2022-04-06,P,Apr 2022
Atq -475,London Kim,2022-04-06,P,Apr 2022
Atq -375,Kenley Marsh,2022-04-06,P,Apr 2022
Atq -456,Adriel Pace,2022-04-06,P,Apr 2022
Atq -385,Jase Ingram,2022-04-06,P,Apr 2022
Atq -484,Adyson Moyer,2022-04-06,P,Apr 2022
Atq -398,Salvatore Hendrix,2022-04-06,P,Apr 2022
Atq -412,Tucker Austin,2022-04-06,P,Apr 2022
Atq -472,Cristofer Bernard,2022-04-06,P,Apr 2022
Atq -396,Karma Reeves,2022-04-06,P,Apr 2022
Atq -467,Esperanza Irwin,2022-04-06,P,Apr 2022
Atq -428,Ciara Allison,2022-04-06,P,Apr 2022
Atq -484,Demarcus Gordon,2022-04-06,P,Apr 2022
Atq -432,Ryann Guerrero,2022-04-06,P,Apr 2022
Atq -421,Rylee Mullins,2022-04-06,P,Apr 2022
Atq -485,Gregory Carr,2022-04-06,WFH,Apr 2022
Atq -452,Ayanna Atkins,2022-04-06,P,Apr 2022
Atq -367,Briley Orr,2022-04-06,P,Apr 2022
