EmployeeCode,Name,Month,TotalPresentDays,Present,WorkFromHome,PaidLeave,SickLeave,BirthdayLeave,FloatingFestivalLeave,BereavementLeave,LeaveWithoutPay,WeeklyOff,HolidayOff,MenstrualLeave
Atq -433,Jayce Fuentes,Apr 2022,21.0,21.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -375,Hailee Fitzpatrick,Apr 2022,21.0,21.0,0.0,0.0,0.0,0,0,0,0.0,9,0,1.0
Atq -475,Rey Novak,Apr 2022,21.0,21.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -368,Macie Callahan,Apr 2022,20.5,18.5,2.0,0.0,0.5,0,0,0,0.0,9,0,0.0
Atq -468,Xiomara Ruiz,Apr 2022,20.0,20.0,0.0,0.0,0.0,0,1,0,0.0,9,0,0.0
Atq -348,Weston Horton,Apr 2022,19.0,19.0,0.0,2.0,0.0,0,0,0,0.0,9,0,0.0
Atq -435,Dean Mclaughlin,Apr 2022,20.0,20.0,0.0,1.0,0.0,0,0,0,0.0,9,0,1.0
Atq -331,Jonah Hamilton,Apr 2022,17.5,15.5,2.0,2.5,1.0,0,0,0,0.0,9,0,0.0
Atq -426,Roman Colon,Apr 2022,6.0,5.0,1.0,0.5,0.0,0,0,0,0.5,9,0,0.0
Atq -405,Chris Frye,Apr 2022,20.0,12.0,8.0,0.0,0.0,0,1,0,0.0,9,0,0.0
Atq -475,London Kim,Apr 2022,20.0,20.0,0.0,0.0,0.0,0,1,0,0.0,9,0,0.0
Atq -375,Kenley Marsh,Apr 2022,19.5,19.5,0.0,1.5,0.0,0,0,0,0.0,9,0,0.0
Atq -456,Adriel Pace,Apr 2022,21.0,21.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -385,Jase Ingram,Apr 2022,19.5,19.5,0.0,1.5,0.0,0,0,0,0.0,9,0,0.0
Atq -484,Adyson Moyer,Apr 2022,21.0,20.0,1.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -398,Salvatore Hendrix,Apr 2022,19.0,19.0,0.0,1.0,1.0,0,0,0,0.0,9,0,0.0
Atq -412,Tucker Austin,Apr 2022,20.0,20.0,0.0,0.0,0.0,0,1,0,0.0,9,0,0.0
Atq -472,Cristofer Bernard,Apr 2022,21.0,21.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -396,Karma Reeves,Apr 2022,20.0,20.0,0.0,0.0,0.0,0,1,0,0.0,9,0,0.0
Atq -467,Esperanza Irwin,Apr 2022,21.0,21.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -428,Ciara Allison,Apr 2022,17.0,17.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -484,Demarcus Gordon,Apr 2022,19.0,19.0,0.0,2.0,0.0,0,0,0,0.0,9,0,0.0
Atq -432,Ryann Guerrero,Apr 2022,20.0,20.0,0.0,1.0,0.0,0,0,0,0.0,9,0,0.0
Atq -421,Rylee Mullins,Apr 2022,20.0,20.0,0.0,1.0,0.0,0,0,0,0.0,9,0,0.0
Atq -485,Gregory Carr,Apr 2022,11.0,0.0,11.0,0.0,0.0,0,0,0,10.0,9,0,0.0
Atq -452,Ayanna Atkins,Apr 2022,21.0,20.0,1.0,0.0,0.0,0,0,0,0.0,9,0,1.0
Atq -367,Briley Orr,Apr 2022,21.0,20.0,1.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -393,Emma Freeman,Apr 2022,20.0,17.0,3.0,0.0,0.0,0,0,0,1.0,9,0,0.0
Atq -403,Will Mahoney,Apr 2022,18.0,18.0,0.0,3.0,0.0,0,0,0,0.0,9,0,0.0
Atq -414,Titus Andersen,Apr 2022,21.0,21.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -418,Marquis Wyatt,Apr 2022,21.0,21.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -408,Nick Orozco,Apr 2022,19.0,16.0,3.0,0.0,0.0,0,0,0,2.0,9,0,0.0
Atq -382,Gustavo Ritter,Apr 2022,21.0,0.0,21.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -373,Isiah Small,Apr 2022,21.0,21.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -418,Hillary Kirk,Apr 2022,20.0,20.0,0.0,0.0,0.0,0,0,0,1.0,9,0,0.0
Atq -376,Dominique Benjamin,Apr 2022,21.0,21.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -453,Nehemiah Diaz,Apr 2022,21.0,21.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -461,Josh Sharp,Apr 2022,15.0,15.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -443,Andrew Cummings,Apr 2022,20.0,12.0,8.0,0.0,0.0,0,0,0,1.0,9,0,0.0
Atq -430,Maximus Mckenzie,Apr 2022,21.0,0.0,21.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -387,Konner Henson,Apr 2022,20.0,20.0,0.0,0.0,0.0,0,0,0,1.0,9,0,0.0
Atq -385,Finnegan Gilbert,Apr 2022,21.0,19.0,2.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -455,Caylee Meadows,Apr 2022,19.0,16.0,3.0,0.0,0.0,0,0,0,2.0,9,0,0.0
Atq -470,Jovani Pope,Apr 2022,21.0,15.0,6.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -374,Kaley Fitzpatrick,Apr 2022,21.0,15.0,6.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -369,Greta Horton,Apr 2022,21.0,20.0,1.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -372,Miley Combs,Apr 2022,20.0,20.0,0.0,0.0,0.0,0,0,0,1.0,9,0,0.0
Atq -437,Dallas Weeks,Apr 2022,21.0,21.0,0.0,0.0,0.0,0,0,0,0.0,9,0,0.0
Atq -400,Chad Macias,Apr 2022,20.0,16.0,4.0,0.0,0.0,0,0,0,1.0,9,0,0.0
Atq -458,Jessie Carrillo,Apr 2022,20.0,19.0,1.0,0.0,0.0,0,0,0,1.0,9,0,0.0
Atq -406,Thanos Thakur,May 2022,22.0,22.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -462,Jarvis Singh,May 2022,22.0,22.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -411,Nevaeh Waller,May 2022,22.0,22.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -398,Bo Cordova,May 2022,21.0,18.0,3.0,1.0,0.0,0,0,0,0.0,8,0,0.0
Atq -438,Mekhi Singleton,May 2022,21.0,21.0,0.0,1.0,0.0,0,0,0,0.0,8,0,0.0
Atq -366,Peter Pandey,May 2022,21.5,21.5,0.0,0.5,0.0,0,0,0,0.0,8,0,0.0
Atq -441,Loki Lal,May 2022,22.0,21.0,1.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -436,Phoenix Brady,May 2022,20.0,20.0,0.0,1.5,0.5,0,0,0,0.0,8,0,0.0
Atq -404,Ana Little,May 2022,19.0,19.0,0.0,3.0,0.0,0,0,0,0.0,8,0,0.0
Atq -397,Grace Stone,May 2022,18.5,16.5,2.0,2.5,0.0,0,1,0,0.0,8,0,0.0
Atq -335,Tori Shannon,May 2022,22.0,22.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -443,Lyric Bartlett,May 2022,22.0,22.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -419,Kaylah Schultz,May 2022,6.0,3.0,3.0,15.0,0.0,1,0,0,0.0,8,0,0.0
Atq -467,Cason David,May 2022,21.5,21.5,0.0,0.5,0.0,0,0,0,0.0,8,0,0.0
Atq -450,Miya Hampton,May 2022,20.0,19.0,1.0,0.0,1.0,0,0,1,0.0,8,0,0.0
Atq -405,Sofia Solis,May 2022,20.0,20.0,0.0,2.0,0.0,0,0,0,0.0,8,0,0.0
Atq -440,Mckayla Parker,May 2022,20.5,19.5,1.0,1.5,0.0,0,0,0,0.0,8,0,0.0
Atq -335,Madelynn Gray,May 2022,17.5,15.5,2.0,2.0,2.5,0,0,0,0.0,8,0,0.0
Atq -343,Myla Klein,May 2022,18.0,18.0,0.0,3.0,1.0,0,0,0,0.0,8,0,0.0
Atq -334,Boston Morse,May 2022,20.5,20.5,0.0,1.5,0.0,0,0,0,0.0,8,0,0.0
Atq -446,April Ayers,May 2022,21.0,21.0,0.0,0.0,1.0,0,0,0,0.0,8,0,0.0
Atq -419,Faith Hamilton,May 2022,21.0,21.0,0.0,0.0,1.0,0,0,0,0.0,8,0,1.0
Atq -396,Joel Cruz,May 2022,15.0,13.0,2.0,7.0,0.0,0,0,0,0.0,8,0,0.0
Atq -459,Iris Woodard,May 2022,20.0,18.0,2.0,1.0,1.0,0,0,0,0.0,8,0,0.0
Atq -349,Trystan Ortega,May 2022,19.0,19.0,0.0,2.0,1.0,0,0,0,0.0,8,0,2.0
Atq -438,Miles Fields,May 2022,20.5,20.5,0.0,1.5,0.0,0,0,0,0.0,8,0,0.0
Atq -423,Rodrigo Price,May 2022,21.0,15.0,6.0,1.0,0.0,0,0,0,0.0,8,0,0.0
Atq -370,Ella Roth,May 2022,20.0,6.0,14.0,1.0,0.0,1,0,0,0.0,8,0,0.0
Atq -433,Jayce Fuentes,May 2022,19.5,18.5,1.0,2.5,0.0,0,0,0,0.0,8,0,0.0
Atq -375,Hailee Fitzpatrick,May 2022,21.0,21.0,0.0,0.5,0.5,0,0,0,0.0,8,0,0.0
Atq -475,Rey Novak,May 2022,21.0,21.0,0.0,0.0,1.0,0,0,0,0.0,8,0,0.0
Atq -368,Macie Callahan,May 2022,22.0,22.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -468,Xiomara Ruiz,May 2022,20.0,19.0,1.0,1.0,1.0,0,0,0,0.0,8,0,0.0
Atq -348,Weston Horton,May 2022,19.0,18.0,1.0,3.0,0.0,0,0,0,0.0,8,0,0.0
Atq -435,Dean Mclaughlin,May 2022,18.5,18.5,0.0,1.0,1.0,0,0,0,1.5,8,0,0.0
Atq -331,Jonah Hamilton,May 2022,21.0,19.0,2.0,0.0,0.0,0,0,0,1.0,8,0,0.0
Atq -405,Chris Frye,May 2022,22.0,14.0,8.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -475,London Kim,May 2022,22.0,17.0,5.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -375,Kenley Marsh,May 2022,18.0,11.0,7.0,1.5,2.5,0,0,0,0.0,8,0,0.0
Atq -456,Adriel Pace,May 2022,21.0,19.0,2.0,1.0,0.0,0,0,0,0.0,8,0,0.0
Atq -385,Jase Ingram,May 2022,19.0,17.0,2.0,2.0,1.0,0,0,0,0.0,8,0,0.0
Atq -484,Adyson Moyer,May 2022,21.5,16.5,5.0,0.5,0.0,0,0,0,0.0,8,0,0.0
Atq -398,Salvatore Hendrix,May 2022,15.0,0.0,15.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -412,Tucker Austin,May 2022,20.0,20.0,0.0,0.0,2.0,0,0,0,0.0,8,0,0.0
Atq -472,Cristofer Bernard,May 2022,20.0,20.0,0.0,1.0,1.0,0,0,0,0.0,8,0,0.0
Atq -396,Karma Reeves,May 2022,21.0,21.0,0.0,1.0,0.0,0,0,0,0.0,8,0,0.0
Atq -467,Esperanza Irwin,May 2022,15.5,15.5,0.0,6.0,0.5,0,0,0,0.0,8,0,0.0
Atq -484,Demarcus Gordon,May 2022,22.0,22.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -432,Ryann Guerrero,May 2022,19.0,18.5,0.5,2.0,1.0,0,0,0,0.0,8,0,0.0
Atq -421,Rylee Mullins,May 2022,17.0,17.0,0.0,5.0,0.0,0,0,0,0.0,8,0,0.0
Atq -452,Ayanna Atkins,May 2022,15.5,13.5,2.0,0.5,5.0,0,0,0,1.0,8,0,0.0
Atq -367,Briley Orr,May 2022,20.0,18.0,2.0,1.0,0.0,0,1,0,0.0,8,0,1.0
Atq -393,Emma Freeman,May 2022,18.5,17.5,1.0,2.5,1.0,0,0,0,0.0,8,0,0.0
Atq -403,Will Mahoney,May 2022,22.0,20.0,2.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -414,Titus Andersen,May 2022,20.5,20.5,0.0,0.0,1.5,0,0,0,0.0,8,0,0.0
Atq -418,Marquis Wyatt,May 2022,21.0,20.0,1.0,1.0,0.0,0,0,0,0.0,8,0,0.0
Atq -408,Nick Orozco,May 2022,18.0,16.5,1.5,0.0,0.0,0,0,0,4.0,8,0,0.0
Atq -382,Gustavo Ritter,May 2022,22.0,0.0,22.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -373,Isiah Small,May 2022,22.0,22.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -418,Hillary Kirk,May 2022,22.0,21.0,1.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -376,Dominique Benjamin,May 2022,21.0,21.0,0.0,0.0,0.0,0,0,0,1.0,8,0,0.0
Atq -453,Nehemiah Diaz,May 2022,18.0,13.0,5.0,3.0,1.0,0,0,0,0.0,8,0,0.0
Atq -461,Josh Sharp,May 2022,22.0,22.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -411,Samuel Murray,May 2022,21.0,21.0,0.0,1.0,0.0,0,0,0,0.0,8,0,0.0
Atq -472,Quincy Mendez,May 2022,20.0,18.0,2.0,0.0,0.0,0,0,0,1.0,8,0,0.0
Atq -448,Athena Rios,May 2022,16.0,15.0,1.0,0.0,0.0,0,0,0,1.0,8,0,0.0
Atq -364,Keaton Nixon,May 2022,12.0,12.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -371,Kayleigh Kennedy,May 2022,4.0,4.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -430,Maximus Mckenzie,May 2022,12.0,0.0,12.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -387,Konner Henson,May 2022,17.0,10.0,7.0,0.0,0.0,0,0,0,5.0,8,0,0.0
Atq -385,Finnegan Gilbert,May 2022,14.5,13.5,1.0,0.0,0.0,0,0,0,7.5,8,0,0.0
Atq -455,Caylee Meadows,May 2022,4.0,4.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -470,Jovani Pope,May 2022,22.0,16.0,6.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -374,Kaley Fitzpatrick,May 2022,22.0,16.0,6.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -372,Miley Combs,May 2022,19.0,19.0,0.0,0.0,0.0,0,0,0,3.0,8,0,0.0
Atq -437,Dallas Weeks,May 2022,20.0,19.0,1.0,0.0,0.0,0,0,0,2.0,8,0,0.0
Atq -400,Chad Macias,May 2022,20.0,17.0,3.0,0.0,0.0,0,0,0,2.0,8,0,0.0
Atq -458,Jessie Carrillo,May 2022,20.0,16.0,4.0,0.0,0.0,0,0,0,2.0,8,0,0.0
Atq -455,Aditya Walls,May 2022,15.0,13.0,2.0,0.0,0.0,0,0,0,2.0,8,0,0.0
Atq -476,Kane Malone,May 2022,16.5,11.5,5.0,0.0,0.0,0,0,0,0.5,8,0,0.0
Atq -362,Kiana Mcmillan,May 2022,16.5,16.5,0.0,0.0,0.0,0,0,0,0.5,8,0,0.0
Atq -426,Isabella Pittman,May 2022,7.0,7.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -461,Shea Zuniga,May 2022,7.0,7.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -414,Mckayla Miles,May 2022,7.0,7.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -389,Julien Hamilton,May 2022,7.0,7.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -406,Thanos Thakur,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -462,Jarvis Singh,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -411,Nevaeh Waller,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -398,Bo Cordova,June 2022,19.0,7.0,12.0,0.0,1.0,0,0,0,0.0,8,0,0.0
Atq -438,Mekhi Singleton,June 2022,12.0,12.0,0.0,1.0,0.0,0,0,0,0.0,8,0,0.0
Atq -366,Peter Pandey,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -441,Loki Lal,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -436,Phoenix Brady,June 2022,11.0,11.0,0.0,2.0,0.0,0,0,0,0.0,8,0,0.0
Atq -404,Ana Little,June 2022,8.5,8.5,0.0,3.5,0.0,0,0,0,0.0,8,0,0.0
Atq -397,Grace Stone,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -335,Tori Shannon,June 2022,12.0,12.0,0.0,1.0,0.0,0,0,0,0.0,8,0,0.0
Atq -443,Lyric Bartlett,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -419,Kaylah Schultz,June 2022,13.0,8.0,5.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -467,Cason David,June 2022,11.0,11.0,0.0,1.0,1.0,0,0,0,0.0,8,0,0.0
Atq -450,Miya Hampton,June 2022,9.0,9.0,0.0,0.0,0.0,0,0,4,0.0,8,0,0.0
Atq -405,Sofia Solis,June 2022,12.5,12.5,0.0,0.5,0.0,0,0,0,0.0,8,0,0.0
Atq -440,Mckayla Parker,June 2022,12.0,12.0,0.0,1.0,1.0,0,0,0,0.0,8,0,0.0
Atq -335,Madelynn Gray,June 2022,5.0,4.0,1.0,0.0,0.0,0,0,0,0.0,8,0,1.0
Atq -343,Myla Klein,June 2022,13.0,11.0,2.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -334,Boston Morse,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -446,April Ayers,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -419,Faith Hamilton,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,1.0
Atq -396,Joel Cruz,June 2022,13.0,13.0,0.0,2.0,0.0,0,0,0,0.0,8,0,0.0
Atq -459,Iris Woodard,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -349,Trystan Ortega,June 2022,5.5,5.5,0.0,0.0,0.0,0,0,0,5.5,8,0,0.0
Atq -438,Miles Fields,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -423,Rodrigo Price,June 2022,9.0,8.0,1.0,3.0,1.0,0,0,0,0.0,8,0,0.0
Atq -370,Ella Roth,June 2022,12.5,12.5,0.0,1.5,0.0,0,0,0,0.0,8,0,0.0
Atq -433,Jayce Fuentes,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -375,Hailee Fitzpatrick,June 2022,11.0,11.0,0.0,2.0,0.0,0,0,0,0.0,8,0,0.0
Atq -475,Rey Novak,June 2022,11.0,9.0,2.0,1.0,1.0,0,0,0,0.0,8,0,0.0
Atq -368,Macie Callahan,June 2022,11.0,6.0,5.0,2.0,0.0,0,0,0,0.0,8,0,0.0
Atq -468,Xiomara Ruiz,June 2022,12.0,12.0,0.0,0.0,1.0,0,0,0,0.0,8,0,0.0
Atq -348,Weston Horton,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -405,Chris Frye,June 2022,16.0,7.0,9.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -475,London Kim,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -375,Kenley Marsh,June 2022,13.0,12.0,1.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -456,Adriel Pace,June 2022,13.0,12.0,1.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -385,Jase Ingram,June 2022,12.0,12.0,0.0,1.0,0.0,0,0,0,0.0,8,0,0.0
Atq -484,Adyson Moyer,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -412,Tucker Austin,June 2022,13.0,12.0,1.0,3.0,0.0,0,0,0,0.0,8,0,0.0
Atq -472,Cristofer Bernard,June 2022,12.0,12.0,0.0,0.0,0.0,1,0,0,0.0,8,0,0.0
Atq -396,Karma Reeves,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -467,Esperanza Irwin,June 2022,12.5,12.5,0.0,0.0,0.5,0,0,0,0.0,8,0,0.0
Atq -484,Demarcus Gordon,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -432,Ryann Guerrero,June 2022,11.5,11.5,0.0,0.0,1.5,0,0,0,0.0,8,0,0.0
Atq -421,Rylee Mullins,June 2022,12.5,11.5,1.0,0.0,0.5,0,0,0,0.0,8,0,0.0
Atq -452,Ayanna Atkins,June 2022,6.5,6.5,0.0,0.0,1.0,0,0,0,5.5,8,0,0.0
Atq -367,Briley Orr,June 2022,12.0,12.0,0.0,1.0,0.0,0,0,0,0.0,8,0,0.0
Atq -393,Emma Freeman,June 2022,8.5,8.5,0.0,2.0,2.5,0,0,0,0.0,8,0,0.0
Atq -403,Will Mahoney,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -414,Titus Andersen,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -418,Marquis Wyatt,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -408,Nick Orozco,June 2022,11.0,9.5,1.5,0.0,0.0,0,0,0,2.0,8,0,0.0
Atq -382,Gustavo Ritter,June 2022,18.0,0.0,18.0,0.0,0.0,0,0,0,0.0,6,0,0.0
Atq -373,Isiah Small,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -418,Hillary Kirk,June 2022,13.0,7.0,6.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -376,Dominique Benjamin,June 2022,12.5,12.5,0.0,0.0,0.0,0,0,0,0.5,8,0,0.0
Atq -453,Nehemiah Diaz,June 2022,12.0,8.0,4.0,1.0,0.0,0,0,0,0.0,8,0,0.0
Atq -461,Josh Sharp,June 2022,13.0,12.0,1.0,0.0,0.0,0,0,0,0.0,8,0,1.0
Atq -411,Samuel Murray,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -472,Quincy Mendez,June 2022,12.0,11.0,1.0,0.0,0.0,0,0,0,1.0,8,0,1.0
Atq -448,Athena Rios,June 2022,11.0,10.0,1.0,0.0,0.0,0,0,0,2.0,8,0,0.0
Atq -364,Keaton Nixon,June 2022,13.0,13.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -371,Kayleigh Kennedy,June 2022,12.0,12.0,0.0,0.0,0.0,0,0,0,1.0,8,0,0.0
Atq -361,Makai Hardy,June 2022,10.0,0.0,10.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -459,Leslie Navarro,June 2022,11.0,0.0,11.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -401,Piper Carroll,June 2022,3.0,3.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -350,Alexander Davenport,June 2022,22.0,0.0,22.0,0.0,0.0,0,0,0,0.0,8,0,0.0
Atq -470,Jovani Pope,June 2022,2.0,2.0,0.0,0.0,0.0,0,0,0,1.0,8,0,0.0
Atq -374,Kaley Fitzpatrick,June 2022,17.0,7.0,10.0,0.0,0.0,0,0,0,5.0,8,0,0.0
Atq -372,Miley Combs,June 2022,8.0,8.0,0.0,0.0,0.0,0,0,0,12.0,8,0,0.0
